IDENTITY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_dj	p_colon	N_dj	N_colon
GC_00002196	9.882353050590542	0.001668714051002874	0.862102002820061	dj	GC_00002196	GC_00002196	0.5833	0	12	12
GC_00002023	8.711119223497558	0.0031627497160564427	0.862102002820061	colon	GC_00002023	GC_00002023	0.3333	0.9167	12	12
GC_00002246	8.000000347293035	0.004677734083859846	0.862102002820061	dj	GC_00002246	GC_00002246	0.5	0	12	12
GC_00002227	8.000000347293035	0.004677734083859846	0.862102002820061	dj	GC_00002227	GC_00002227	0.5	0	12	12
GC_00002153	6.750019237925313	0.009374667378293048	0.862102002820061	dj	GC_00002153	GC_00002153	0.5833	0.0833	12	12
GC_00002162	6.7500192379253106	0.009374667378293055	0.862102002820061	colon	GC_00002162	GC_00002162	0.0833	0.5833	12	12
GC_00002168	6.7500192379253106	0.009374667378293055	0.862102002820061	colon	GC_00002168	GC_00002168	0.0833	0.5833	12	12
GC_00002185	6.7500192379253106	0.009374667378293055	0.862102002820061	colon	GC_00002185	GC_00002185	0.0833	0.5833	12	12
GC_00002335	6.315790024995287	0.01196674143663365	0.862102002820061	colon	GC_00002335	GC_00002335	0	0.4167	12	12
GC_00002087	6.171428604438088	0.012982972687809092	0.862102002820061	colon	GC_00002087	GC_00002087	0.1667	0.6667	12	12
GC_00002113	6.171428604438088	0.012982972687809092	0.862102002820061	colon	GC_00002113	GC_00002113	0.1667	0.6667	12	12
GC_00002075	6.0000000000000036	0.014305878435429612	0.862102002820061	colon	GC_00002075	GC_00002075	0.25	0.75	12	12
GC_00002200	5.042040601608173	0.024739331491391712	0.862102002820061	colon	GC_00002200	GC_00002200	0.0833	0.5	12	12
GC_00002204	5.042040601608173	0.024739331491391712	0.862102002820061	colon	GC_00002204	GC_00002204	0.0833	0.5	12	12
GC_00002212	5.042040601608173	0.024739331491391712	0.862102002820061	colon	GC_00002212	GC_00002212	0.0833	0.5	12	12
GC_00002014	5.042040601608171	0.02473933149139173	0.862102002820061	colon	GC_00002014	GC_00002014	0.5	0.9167	12	12
GC_00002015	5.042040601608171	0.02473933149139173	0.862102002820061	colon	GC_00002015	GC_00002015	0.5	0.9167	12	12
GC_00002357	4.800000524393006	0.028459728253885024	0.862102002820061	dj	GC_00002357	GC_00002357	0.3333	0	12	12
GC_00002390	4.800000524393006	0.028459728253885024	0.862102002820061	dj	GC_00002390	GC_00002390	0.3333	0	12	12
GC_00002323	4.800000524393006	0.028459728253885024	0.862102002820061	dj	GC_00002323	GC_00002323	0.3333	0	12	12
GC_00002388	4.8000005243930035	0.028459728253885166	0.862102002820061	colon	GC_00002388	GC_00002388	0	0.3333	12	12
